epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.599,0.82073,2.66195,1.2609,0.00875,1,0.16918,0.10582,0.51105,2.6587,0.9883,4e-05,4e-05,4e-05
2,35.0586,0.87096,2.70214,1.3743,0.00875,1,0.15081,0.08313,0.53221,2.65104,0.98513,9.934e-05,9.934e-05,9.934e-05
3,36.8545,0.68844,2.49538,1.22532,0.00875,1,0.2911,0.19278,0.59018,2.62167,0.99142,0.000157888,0.000157888,0.000157888
4,38.4545,0.705,2.39712,1.26247,0.00875,1,0.47261,0.36287,0.56407,2.61673,0.95826,0.000215644,0.000215644,0.000215644
5,40.0849,0.60653,2.13214,1.18277,0.00875,1,0.52604,0.40771,0.59392,2.60994,0.97251,0.000272608,0.000272608,0.000272608
6,41.8619,0.62121,1.85869,1.12896,0.00875,1,0.47603,0.35809,0.70519,2.60156,1.03686,0.00032878,0.00032878,0.00032878
7,43.6429,0.73466,1.91355,1.25718,0.00875,1,0.51769,0.37783,0.79971,2.55859,1.12124,0.00038416,0.00038416,0.00038416
8,45.5819,0.66894,1.70342,1.18525,0.00875,1,0.53909,0.40224,0.75976,2.5277,1.10764,0.000438748,0.000438748,0.000438748
9,47.9033,0.67247,1.56962,1.12963,0.00875,1,0.56118,0.41338,0.73236,2.52104,1.05679,0.000492544,0.000492544,0.000492544
10,49.8498,0.64498,1.43904,1.11651,0.00875,1,0.53207,0.3952,0.68621,2.55319,1.03818,0.000545548,0.000545548,0.000545548
11,51.4754,0.61494,1.2728,1.14001,0.31985,0.61905,0.56959,0.42092,0.76637,2.48152,1.1143,0.00059776,0.00059776,0.00059776
12,53.0239,0.66879,1.26569,1.23391,1,0.26358,0.58208,0.42925,0.80109,2.372,1.18791,0.00064918,0.00064918,0.00064918
13,54.6366,0.72397,1.22975,1.18934,1,0.3975,0.51661,0.40695,0.98791,2.22689,1.34341,0.000699808,0.000699808,0.000699808
14,56.2056,0.68134,1.15156,1.18233,0.87184,0.28571,0.45145,0.34771,1.07573,2.33511,1.30183,0.000749644,0.000749644,0.000749644
15,57.9487,0.70391,1.17811,1.20104,0.8924,0.28571,0.39829,0.28139,1.27402,2.42121,1.55411,0.000798688,0.000798688,0.000798688
16,59.9533,0.74703,1.13916,1.18847,0.93265,0.28571,0.4137,0.28133,1.20736,2.39672,1.46327,0.00084694,0.00084694,0.00084694
17,62.3848,0.69429,1.10688,1.19439,1,0.45698,0.53444,0.40284,1.17748,2.01852,1.52599,0.0008944,0.0008944,0.0008944
18,64.0538,0.82605,1.19301,1.26737,0.97636,0.42857,0.54031,0.37744,1.21863,1.93855,1.56732,0.000941068,0.000941068,0.000941068
19,65.6209,0.75675,1.1311,1.20458,0.85533,0.56358,0.60045,0.42681,1.20448,1.89386,1.54412,0.000986944,0.000986944,0.000986944
20,67.1856,0.77349,1.11455,1.27417,1,0.42177,0.59958,0.45276,1.05528,1.85374,1.3325,0.00103203,0.00103203,0.00103203
21,68.9502,0.67534,1.02716,1.16316,0.77481,0.42857,0.54419,0.41376,1.09328,2.00695,1.40451,0.00107632,0.00107632,0.00107632
22,70.5331,0.67849,1.04304,1.16743,0.5624,0.42857,0.48612,0.30126,1.20968,2.19245,1.56149,0.00111982,0.00111982,0.00111982
23,72.0608,0.69493,1.06769,1.16774,0.64118,0.42566,0.51222,0.30294,1.16935,2.26489,1.49691,0.00116253,0.00116253,0.00116253
24,74.2962,0.71787,1.05967,1.19863,0.62475,0.47619,0.4988,0.33864,1.16197,2.08199,1.48855,0.00120444,0.00120444,0.00120444
25,76.4758,0.70293,1.08274,1.17664,0.66446,0.52381,0.51781,0.33248,1.14455,2.0397,1.48825,0.00124557,0.00124557,0.00124557
26,78.0544,0.66031,1.03136,1.12942,0.58214,0.52381,0.42149,0.25639,1.22924,2.14408,1.59076,0.0012859,0.0012859,0.0012859
27,79.6711,0.79909,1.05056,1.1867,0.59227,0.52381,0.45319,0.24579,1.32754,2.2484,1.6622,0.00132544,0.00132544,0.00132544
28,81.2967,0.73599,1.03422,1.19623,0.61586,0.42857,0.39145,0.22455,1.34731,2.28469,1.68356,0.00136419,0.00136419,0.00136419
29,82.7797,0.70325,0.99605,1.14436,0.61586,0.42857,0.39145,0.22455,1.34731,2.28469,1.68356,0.00140214,0.00140214,0.00140214
30,84.3412,0.66165,1.02367,1.12071,0.63212,0.42857,0.37527,0.2254,1.37527,2.3223,1.75901,0.00143931,0.00143931,0.00143931
31,85.9765,0.69904,0.98596,1.1632,0.67519,0.39678,0.41359,0.26961,1.53506,2.32584,1.93634,0.00147568,0.00147568,0.00147568
32,88.4386,0.67356,1.05362,1.21689,0.64031,0.28571,0.3427,0.24236,1.51863,2.34372,1.88311,0.00151126,0.00151126,0.00151126
33,90.3756,0.70218,1.06272,1.15391,0.64031,0.28571,0.3427,0.24236,1.51863,2.34372,1.88311,0.00154605,0.00154605,0.00154605
34,91.9943,0.76903,1.11118,1.24928,0.44515,0.33333,0.36711,0.28771,1.23361,2.10498,1.64597,0.0015644,0.0015644,0.0015644
35,93.5549,0.73426,1.03479,1.18836,0.77977,0.2381,0.34076,0.26007,1.41576,2.12192,1.83461,0.0015512,0.0015512,0.0015512
36,95.1512,0.75511,0.96867,1.21393,0.397,0.33333,0.3293,0.22707,1.49764,2.18473,1.80816,0.001538,0.001538,0.001538
37,96.7378,0.69331,0.95226,1.14889,0.397,0.33333,0.3293,0.22707,1.49764,2.18473,1.80816,0.0015248,0.0015248,0.0015248
38,98.292,0.70508,1.0201,1.14614,0.40734,0.33333,0.24331,0.16409,1.37711,2.33741,1.78946,0.0015116,0.0015116,0.0015116
39,100.059,0.67796,0.89272,1.13697,0.44595,0.42857,0.33745,0.21978,1.46097,2.24991,1.83011,0.0014984,0.0014984,0.0014984
40,102.456,0.69388,1.00424,1.15985,0.71126,0.42857,0.43297,0.27675,1.44758,2.14458,1.78966,0.0014852,0.0014852,0.0014852
41,104.406,0.66465,0.97017,1.13079,0.71126,0.42857,0.43297,0.27675,1.44758,2.14458,1.78966,0.001472,0.001472,0.001472
42,105.985,0.66702,0.92249,1.1554,0.7215,0.33333,0.33431,0.18316,1.65887,2.09981,1.97002,0.0014588,0.0014588,0.0014588
43,107.614,0.68034,0.94095,1.16712,0.46616,0.33333,0.29429,0.18175,1.46726,2.12471,1.81608,0.0014456,0.0014456,0.0014456
44,109.176,0.72494,0.92246,1.22024,0.58559,0.33333,0.36949,0.20982,1.39067,2.0857,1.758,0.0014324,0.0014324,0.0014324
45,110.685,0.67178,0.86616,1.10079,0.58559,0.33333,0.36949,0.20982,1.39067,2.0857,1.758,0.0014192,0.0014192,0.0014192
46,112.313,0.63681,0.84529,1.13105,0.72575,0.28571,0.3678,0.25314,1.29104,2.01845,1.65655,0.001406,0.001406,0.001406
47,114.055,0.62464,0.81661,1.12178,0.76533,0.33333,0.41116,0.31373,1.34231,1.92041,1.53793,0.0013928,0.0013928,0.0013928
48,116.558,0.63367,0.80322,1.10191,0.8875,0.3762,0.44792,0.32489,1.20869,1.86566,1.46513,0.0013796,0.0013796,0.0013796
49,118.359,0.60145,0.8379,1.11642,0.8875,0.3762,0.44792,0.32489,1.20869,1.86566,1.46513,0.0013664,0.0013664,0.0013664
50,119.971,0.66791,0.83409,1.07067,0.72179,0.52381,0.54447,0.36939,1.14067,1.7398,1.42036,0.0013532,0.0013532,0.0013532
51,121.578,0.639,0.82545,1.13626,0.85273,0.38095,0.4871,0.37818,1.05698,1.66543,1.429,0.00134,0.00134,0.00134
52,123.208,0.61082,0.85931,1.15419,1,0.42305,0.50924,0.34493,1.1508,1.73642,1.55949,0.0013268,0.0013268,0.0013268
53,124.839,0.59828,0.78252,1.13907,1,0.42305,0.50924,0.34493,1.1508,1.73642,1.55949,0.0013136,0.0013136,0.0013136
54,126.428,0.5817,0.70755,1.06045,0.74473,0.38095,0.47057,0.28032,1.33024,2.08616,1.56752,0.0013004,0.0013004,0.0013004
55,128.489,0.61572,0.79554,1.0857,0.70677,0.38095,0.44309,0.2335,1.54072,2.16628,1.82449,0.0012872,0.0012872,0.0012872
56,131.006,0.62682,0.79522,1.13067,0.87472,0.33259,0.438,0.23294,1.71532,2.12621,2.0343,0.001274,0.001274,0.001274
57,132.691,0.58619,0.75492,1.07837,0.87472,0.33259,0.438,0.23294,1.71532,2.12621,2.0343,0.0012608,0.0012608,0.0012608
58,134.303,0.68042,0.75246,1.12181,0.70822,0.38095,0.50587,0.27505,1.64951,1.95792,1.95474,0.0012476,0.0012476,0.0012476
59,135.843,0.59953,0.76534,1.11451,0.70966,0.46616,0.4747,0.26482,1.67919,1.87442,1.97543,0.0012344,0.0012344,0.0012344
60,137.52,0.62057,0.76449,1.14168,0.57482,0.42857,0.45063,0.23481,1.6033,1.99339,1.936,0.0012212,0.0012212,0.0012212
61,139.075,0.6183,0.76569,1.05922,0.57482,0.42857,0.45063,0.23481,1.6033,1.99339,1.936,0.001208,0.001208,0.001208
